time,state,action,reward,rep,model
0,0.75,0,0,0,TD3_tuned
1,0.6462758668088588,0.20518338680267334,0.20518338680267334,0,TD3_tuned
2,0.5867304072567373,0.12726086378097534,0.12726086378097534,0,TD3_tuned
3,0.6490778341416299,0.047131359577178955,0.047131359577178955,0,TD3_tuned
4,0.6701612555472927,0.13250917196273804,0.13250917196273804,0,TD3_tuned
5,0.5817431689329117,0.15115708112716675,0.15115708112716675,0,TD3_tuned
6,0.6018802473304998,0.04173934459686279,0.04173934459686279,0,TD3_tuned
7,0.6985936514492389,0.06294161081314087,0.06294161081314087,0,TD3_tuned
8,0.6455025532849555,0.1685006022453308,0.1685006022453308,0,TD3_tuned
9,0.5701432830222388,0.12584686279296875,0.12584686279296875,0,TD3_tuned
10,0.6423740958308288,0.03154444694519043,0.03154444694519043,0,TD3_tuned
11,0.5728212434578787,0.12020730972290039,0.12020730972290039,0,TD3_tuned
12,0.5886040715459262,0.03364574909210205,0.03364574909210205,0,TD3_tuned
13,0.626861109337809,0.049328625202178955,0.049328625202178955,0,TD3_tuned
14,0.5055965322032507,0.09398651123046875,0.09398651123046875,0,TD3_tuned
15,0.4933503931855492,3.0934810638427734e-5,3.0934810638427734e-5,0,TD3_tuned
16,0.5405926397774573,4.231929779052734e-6,4.231929779052734e-6,0,TD3_tuned
17,0.5576131683826085,0.003121495246887207,0.003121495246887207,0,TD3_tuned
18,0.630198505470871,0.0188940167427063,0.0188940167427063,0,TD3_tuned
19,0.5575642439983398,0.09912145137786865,0.09912145137786865,0,TD3_tuned
20,0.5372257945408728,0.018797338008880615,0.018797338008880615,0,TD3_tuned
21,0.6880965437817603,0.002179741859436035,0.002179741859436035,0,TD3_tuned
22,0.5899496635592114,0.16102707386016846,0.16102707386016846,0,TD3_tuned
23,0.617165506058145,0.05096793174743652,0.05096793174743652,0,TD3_tuned
24,0.5348285611948103,0.0804668664932251,0.0804668664932251,0,TD3_tuned
25,0.5787879832771794,0.0016878247261047363,0.0016878247261047363,0,TD3_tuned
26,0.62045047594259,0.03884810209274292,0.03884810209274292,0,TD3_tuned
27,0.5485948505313872,0.08482468128204346,0.08482468128204346,0,TD3_tuned
28,0.6361066128962045,0.0073128342628479,0.0073128342628479,0,TD3_tuned
29,0.5703468255333979,0.10886931419372559,0.10886931419372559,0,TD3_tuned
30,0.597487198752825,0.031699538230895996,0.031699538230895996,0,TD3_tuned
31,0.5809227783854906,0.05869334936141968,0.05869334936141968,0,TD3_tuned
