model,state,action,rep
TD3,0,0,0
TD3,0.040816307067871094,0,0
TD3,0.08163267374038696,0,0
TD3,0.12244898080825806,0,0
TD3,0.16326528787612915,0,0
TD3,0.20408165454864502,0,0
TD3,0.2448979616165161,0,0
TD3,0.2857142686843872,0,0
TD3,0.3265305757522583,0,0
TD3,0.36734694242477417,0,0
TD3,0.40816324949264526,0,0
TD3,0.44897961616516113,0,0
TD3,0.4897959232330322,2.384185791015625e-6,0
TD3,0.5306122303009033,0.0010762214660644531,0
TD3,0.5714285373687744,0.032536327838897705,0
TD3,0.6122449040412903,0.07433831691741943,0
TD3,0.6530612111091614,0.1403171420097351,0
TD3,0.6938775181770325,0.16498762369155884,0
TD3,0.7346938848495483,0.19234538078308105,0
TD3,0.7755101919174194,0.22714537382125854,0
TD3,0.8163264989852905,0.2596217393875122,0
TD3,0.8571428656578064,0.2924172878265381,0
TD3,0.8979591727256775,0.32917118072509766,0
TD3,0.9387754797935486,0.3633105754852295,0
TD3,0.9795918464660645,0.3927847146987915,0
TD3,1.0204081535339355,0.41989052295684814,0
TD3,1.0612244606018066,0.4497283697128296,0
TD3,1.1020407676696777,0.48276031017303467,0
TD3,1.1428570747375488,0.5201138257980347,0
TD3,1.1836735010147095,0.5621455907821655,0
TD3,1.2244898080825806,0.6061164140701294,0
TD3,1.2653061151504517,0.6519081592559814,0
TD3,1.3061224222183228,0.6988685131072998,0
TD3,1.3469387292861938,0.7471879720687866,0
TD3,1.387755036354065,0.9049750566482544,0
TD3,1.428571343421936,1.3892430067062378,0
TD3,1.4693877696990967,1.8497796058654785,0
TD3,1.5102040767669678,1.973301649093628,0
TD3,1.5510203838348389,1.9954782724380493,0
TD3,1.59183669090271,1.9992256164550781,0
TD3,1.632652997970581,1.999868392944336,0
TD3,1.6734693050384521,1.9999771118164062,0
TD3,1.7142857313156128,1.9999958276748657,0
TD3,1.7551020383834839,1.9999992847442627,0
TD3,1.795918345451355,1.9999998807907104,0
TD3,1.836734652519226,2,0
TD3,1.8775509595870972,2,0
TD3,1.9183672666549683,2,0
TD3,1.959183692932129,2,0
TD3,2,2,0
TD3,0,0,1
TD3,0.040816307067871094,0,1
TD3,0.08163267374038696,0,1
TD3,0.12244898080825806,0,1
TD3,0.16326528787612915,0,1
TD3,0.20408165454864502,0,1
TD3,0.2448979616165161,0,1
TD3,0.2857142686843872,0,1
TD3,0.3265305757522583,0,1
TD3,0.36734694242477417,0,1
TD3,0.40816324949264526,0,1
TD3,0.44897961616516113,0,1
TD3,0.4897959232330322,2.384185791015625e-6,1
TD3,0.5306122303009033,0.0010762214660644531,1
TD3,0.5714285373687744,0.032536327838897705,1
TD3,0.6122449040412903,0.07433831691741943,1
TD3,0.6530612111091614,0.1403171420097351,1
TD3,0.6938775181770325,0.16498762369155884,1
TD3,0.7346938848495483,0.19234538078308105,1
TD3,0.7755101919174194,0.22714537382125854,1
TD3,0.8163264989852905,0.2596217393875122,1
TD3,0.8571428656578064,0.2924172878265381,1
TD3,0.8979591727256775,0.32917118072509766,1
TD3,0.9387754797935486,0.3633105754852295,1
TD3,0.9795918464660645,0.3927847146987915,1
TD3,1.0204081535339355,0.41989052295684814,1
TD3,1.0612244606018066,0.4497283697128296,1
TD3,1.1020407676696777,0.48276031017303467,1
TD3,1.1428570747375488,0.5201138257980347,1
TD3,1.1836735010147095,0.5621455907821655,1
TD3,1.2244898080825806,0.6061164140701294,1
TD3,1.2653061151504517,0.6519081592559814,1
TD3,1.3061224222183228,0.6988685131072998,1
TD3,1.3469387292861938,0.7471879720687866,1
TD3,1.387755036354065,0.9049750566482544,1
TD3,1.428571343421936,1.3892430067062378,1
TD3,1.4693877696990967,1.8497796058654785,1
TD3,1.5102040767669678,1.973301649093628,1
TD3,1.5510203838348389,1.9954782724380493,1
TD3,1.59183669090271,1.9992256164550781,1
TD3,1.632652997970581,1.999868392944336,1
TD3,1.6734693050384521,1.9999771118164062,1
TD3,1.7142857313156128,1.9999958276748657,1
TD3,1.7551020383834839,1.9999992847442627,1
TD3,1.795918345451355,1.9999998807907104,1
TD3,1.836734652519226,2,1
TD3,1.8775509595870972,2,1
TD3,1.9183672666549683,2,1
TD3,1.959183692932129,2,1
TD3,2,2,1
TD3,0,0,2
TD3,0.040816307067871094,0,2
TD3,0.08163267374038696,0,2
TD3,0.12244898080825806,0,2
TD3,0.16326528787612915,0,2
TD3,0.20408165454864502,0,2
TD3,0.2448979616165161,0,2
TD3,0.2857142686843872,0,2
TD3,0.3265305757522583,0,2
TD3,0.36734694242477417,0,2
TD3,0.40816324949264526,0,2
TD3,0.44897961616516113,0,2
TD3,0.4897959232330322,2.384185791015625e-6,2
TD3,0.5306122303009033,0.0010762214660644531,2
TD3,0.5714285373687744,0.032536327838897705,2
TD3,0.6122449040412903,0.07433831691741943,2
TD3,0.6530612111091614,0.1403171420097351,2
TD3,0.6938775181770325,0.16498762369155884,2
TD3,0.7346938848495483,0.19234538078308105,2
TD3,0.7755101919174194,0.22714537382125854,2
TD3,0.8163264989852905,0.2596217393875122,2
TD3,0.8571428656578064,0.2924172878265381,2
TD3,0.8979591727256775,0.32917118072509766,2
TD3,0.9387754797935486,0.3633105754852295,2
TD3,0.9795918464660645,0.3927847146987915,2
TD3,1.0204081535339355,0.41989052295684814,2
TD3,1.0612244606018066,0.4497283697128296,2
TD3,1.1020407676696777,0.48276031017303467,2
TD3,1.1428570747375488,0.5201138257980347,2
TD3,1.1836735010147095,0.5621455907821655,2
TD3,1.2244898080825806,0.6061164140701294,2
