model,state,action,rep
TD3,0,0.0125502347946167,0
TD3,0.06122446060180664,0.02255585789680481,0
TD3,0.12244901061058044,0.06071045994758606,0
TD3,0.18367347121238708,0.2679052948951721,0
TD3,0.24489793181419373,0.9859365820884705,0
TD3,0.30612248182296753,1.0048946142196655,0
TD3,0.36734694242477417,1.0240334272384644,0
TD3,0.4285714030265808,1.055929273366928,0
TD3,0.48979586362838745,1.0976862609386444,0
TD3,0.5510204136371613,1.1401299834251404,0
TD3,0.6122448742389679,0.7522457242012024,0
TD3,0.6734694242477417,0.3420599699020386,0
TD3,0.7346938848495483,0.2727591097354889,0
TD3,0.795918345451355,0.1289888620376587,0
TD3,0.8571428060531616,0.17858317494392395,0
TD3,0.9183673560619354,0.2065102458000183,0
TD3,0.9795918166637421,0.21572613716125488,0
TD3,1.0408162772655487,0.22532084584236145,0
TD3,1.1020408272743225,0.21024048328399658,0
TD3,1.1632652878761292,0.0015319883823394775,0
TD3,1.2244897484779358,1.7881393432617188e-07,0
TD3,1.2857142984867096,0,0
TD3,1.3469387590885162,0,0
TD3,1.4081632196903229,0,0
TD3,1.4693877696990967,0,0
TD3,1.5306122303009033,0,0
TD3,1.59183669090271,0,0
TD3,1.6530611515045166,0,0
TD3,1.7142856121063232,0,0
TD3,1.7755102515220642,0,0
TD3,1.8367347121238708,0,0
TD3,1.8979591727256775,0,0
TD3,1.9591836333274841,0,0
TD3,2.0204080939292908,0,0
TD3,2.0816325545310974,0,0
TD3,2.142857015132904,0,0
TD3,2.204081654548645,0,0
TD3,2.2653061151504517,0,0
TD3,2.3265305757522583,0,0
TD3,2.387755036354065,0,0
TD3,2.4489794969558716,0,0
TD3,2.5102039575576782,0,0
TD3,2.571428596973419,0,0
TD3,2.632653057575226,0,0
TD3,2.6938775181770325,0,0
TD3,2.755101978778839,0,0
TD3,2.8163264393806458,0,0
TD3,2.8775508999824524,0,0
TD3,2.9387755393981934,0,0
TD3,3,0,0
TD3,0,0.0125502347946167,1
TD3,0.06122446060180664,0.02255585789680481,1
TD3,0.12244901061058044,0.06071045994758606,1
TD3,0.18367347121238708,0.2679052948951721,1
TD3,0.24489793181419373,0.9859365820884705,1
TD3,0.30612248182296753,1.0048946142196655,1
