parameter,equilibrium,group,state
0.155,stable,low,NA
0.155,unstable,threshold,NA
0.155,stable,high,0.9089933528533622
0.15642857142857142,stable,low,NA
0.15642857142857142,unstable,threshold,NA
0.15642857142857142,stable,high,0.9050447406094208
0.15785714285714286,stable,low,NA
0.15785714285714286,unstable,threshold,NA
0.15785714285714286,stable,high,0.9010571408316815
0.15928571428571428,stable,low,NA
0.15928571428571428,unstable,threshold,NA
0.15928571428571428,stable,high,0.8969840800732284
0.16071428571428573,stable,low,NA
0.16071428571428573,unstable,threshold,NA
0.16071428571428573,stable,high,0.8929181824730683
0.16214285714285714,stable,low,NA
0.16214285714285714,unstable,threshold,NA
0.16214285714285714,stable,high,0.8887459963284922
0.16357142857142856,stable,low,NA
0.16357142857142856,unstable,threshold,NA
0.16357142857142856,stable,high,0.8845223627684536
0.165,stable,low,NA
0.165,unstable,threshold,NA
0.165,stable,high,0.8802364358387594
0.16642857142857143,stable,low,0.19432816969617134
0.16642857142857143,unstable,threshold,0.23220092939773931
0.16642857142857143,stable,high,0.8758933800264712
0.16785714285714287,stable,low,0.1853266222791483
0.16785714285714287,unstable,threshold,0.24537508318980183
0.16785714285714287,stable,high,0.8715022169526578
0.1692857142857143,stable,low,0.17921196227470362
0.1692857142857143,unstable,threshold,0.2556914644798501
0.1692857142857143,stable,high,0.8670121689752446
0.1707142857142857,stable,low,0.17443065578990927
0.1707142857142857,unstable,threshold,0.264810447061672
0.1707142857142857,stable,high,0.8624735414417957
0.17214285714285715,stable,low,0.1704387309208013
0.17214285714285715,unstable,threshold,0.2731769129689503
0.17214285714285715,stable,high,0.8577946418350231
0.17357142857142857,stable,low,0.16695840722160146
0.17357142857142857,unstable,threshold,0.2811330974758038
0.17357142857142857,stable,high,0.8531072230314909
0.175,stable,low,0.16388357425849534
0.175,unstable,threshold,0.28870405247322667
0.175,stable,high,0.8482967655972442
0.17642857142857143,stable,low,0.16112321813192135
0.17642857142857143,unstable,threshold,0.2961361344912727
0.17642857142857143,stable,high,0.8433925200952099
0.17785714285714285,stable,low,0.1586031494926413
0.17785714285714285,unstable,threshold,0.3033813504023894
0.17785714285714285,stable,high,0.8383912391433035
0.1792857142857143,stable,low,0.1562628176991278
0.1792857142857143,unstable,threshold,0.3105612428155948
0.1792857142857143,stable,high,0.8333245879705533
0.18071428571428572,stable,low,0.15410392115030225
0.18071428571428572,unstable,threshold,0.3176795335440605
0.18071428571428572,stable,high,0.8281224521974778
0.18214285714285713,stable,low,0.15212766197127026
0.18214285714285713,unstable,threshold,0.32475234051102814
0.18214285714285713,stable,high,0.8227752369757383
0.18357142857142858,stable,low,0.15023447598230572
0.18357142857142858,unstable,threshold,0.3318089898277064
0.18357142857142858,stable,high,0.8173332542054634
0.185,stable,low,0.14844814101310708
0.185,unstable,threshold,0.33895031199548303
0.185,stable,high,0.8117583997238347
0.18642857142857144,stable,low,0.14679093593367648
0.18642857142857144,unstable,threshold,0.34608995771726553
0.18642857142857144,stable,high,0.8060404105488731
0.18785714285714286,stable,low,0.14518139151353865
0.18785714285714286,unstable,threshold,0.3533219294021563
0.18785714285714286,stable,high,0.8001721486346705
0.18928571428571428,stable,low,0.14366049507619752
0.18928571428571428,unstable,threshold,0.3606496407387587
0.18928571428571428,stable,high,0.7941044769332523
0.19071428571428573,stable,low,0.14221993217781065
0.19071428571428573,unstable,threshold,0.3680828757464042
0.19071428571428573,stable,high,0.787887178649144
0.19214285714285714,stable,low,0.14083004042770267
0.19214285714285714,unstable,threshold,0.3756475789982117
0.19214285714285714,stable,high,0.7814642191863281
0.19357142857142856,stable,low,0.13950886002237936
0.19357142857142856,unstable,threshold,0.3834157796035793
0.19357142857142856,stable,high,0.7747910019160312
0.195,stable,low,0.13822960637175194
0.195,unstable,threshold,0.39133612653656774
0.195,stable,high,0.7679165917359652
0.19642857142857142,stable,low,0.13703567454595292
0.19642857142857142,unstable,threshold,0.399518584058387
0.19642857142857142,stable,high,0.7607074093633612
0.19785714285714287,stable,low,0.13582921708930193
0.19785714285714287,unstable,threshold,0.4079774179014222
0.19785714285714287,stable,high,0.7532312107025366
0.1992857142857143,stable,low,0.13472875572339674
0.1992857142857143,unstable,threshold,0.4167212156538189
0.1992857142857143,stable,high,0.7453774619321805
0.20071428571428573,stable,low,0.13359442634375726
0.20071428571428573,unstable,threshold,0.42586517964129017
0.20071428571428573,stable,high,0.7370900777153928
0.20214285714285715,stable,low,0.13254709458991218
0.20214285714285715,unstable,threshold,0.43542936542142474
0.20214285714285715,stable,high,0.728329662075182
0.20357142857142857,stable,low,0.13152014441225374
0.20357142857142857,unstable,threshold,0.445577746295068
0.20357142857142857,stable,high,0.7189956503947714
0.20500000000000002,stable,low,0.13052132822809995
0.20500000000000002,unstable,threshold,0.4563992577344343
0.20500000000000002,stable,high,0.7089590412010616
0.20642857142857143,stable,low,0.1295522242265972
0.20642857142857143,unstable,threshold,0.4680910837168129
0.20642857142857143,stable,high,0.6980209357179264
0.20785714285714285,stable,low,0.12865296837092133
0.20785714285714285,unstable,threshold,0.4809890444718351
0.20785714285714285,stable,high,0.685803055371716
0.2092857142857143,stable,low,0.12774702756384507
0.2092857142857143,unstable,threshold,0.4955915943984991
0.2092857142857143,stable,high,0.6719164887337297
0.21071428571428572,stable,low,0.12684160512891135
0.21071428571428572,unstable,threshold,0.5128551654259293
0.21071428571428572,stable,high,0.6552773832963561
0.21214285714285713,stable,low,0.12597703805918795
0.21214285714285713,unstable,threshold,0.5356366045788341
0.21214285714285713,stable,high,0.6331692953604746
0.21357142857142858,stable,low,0.12514137502129333
0.21357142857142858,unstable,threshold,0.5846557041861778
0.21357142857142858,stable,high,0.5846640728000303
0.21500000000000002,stable,low,0.12436181827433969
0.21500000000000002,unstable,threshold,NA
0.21500000000000002,stable,high,NA
0.21642857142857144,stable,low,0.12355319772863621
0.21642857142857144,unstable,threshold,NA
0.21642857142857144,stable,high,NA
0.21785714285714286,stable,low,0.12279262720730154
0.21785714285714286,unstable,threshold,NA
0.21785714285714286,stable,high,NA
0.2192857142857143,stable,low,0.1219970768504429
0.2192857142857143,unstable,threshold,NA
0.2192857142857143,stable,high,NA
0.22071428571428572,stable,low,0.12127257110000476
0.22071428571428572,unstable,threshold,NA
0.22071428571428572,stable,high,NA
0.22214285714285714,stable,low,0.12053343970632115
0.22214285714285714,unstable,threshold,NA
0.22214285714285714,stable,high,NA
0.2235714285714286,stable,low,0.119833829060084
0.2235714285714286,unstable,threshold,NA
0.2235714285714286,stable,high,NA
0.225,stable,low,0.11914254030444522
0.225,unstable,threshold,NA
0.225,stable,high,NA
