time,model,mean_reward,sd
0,steady-state,0,0
0,TD3,0,0
1,steady-state,0.3508784376505464,0.05084868304659021
1,TD3,0.4262651145399031,0.05009560859978332
2,steady-state,0.6950369260615703,0.10377028536453134
2,TD3,0.7003124624918826,0.35742708946861146
3,steady-state,1.0381509757978111,0.15639972596951662
3,TD3,0.8618490576727387,0.7554586964021768
4,steady-state,1.3765595270026196,0.21137436039862137
4,TD3,1.0026940437096414,1.1565118088758297
5,steady-state,1.7096205747685564,0.2668818667505628
5,TD3,1.071383945514008,1.5722539552458425
6,steady-state,2.037956969466825,0.31900106324292477
6,TD3,1.1162463915119059,1.9144123508435065
7,steady-state,2.361882996870042,0.373869845627807
7,TD3,1.194532560870829,2.246501020877682
8,steady-state,2.682399428863228,0.4301911533915351
8,TD3,1.2648944646093168,2.554433044430198
9,steady-state,3.001333537319598,0.48818158738884776
9,TD3,1.3031882503332142,2.8852543492968055
10,steady-state,3.3171574306726828,0.5464606966955651
10,TD3,1.3045980192116613,3.126284613201017
11,steady-state,3.633515712459326,0.6100299871988496
11,TD3,1.311793575987317,3.4318018778646824
12,steady-state,3.9476386941325776,0.6751556646909495
12,TD3,1.255066821342876,3.72154493666735
13,steady-state,4.2591779325705135,0.7427067556497533
13,TD3,1.201362558776038,3.97883895472193
14,steady-state,4.565524552005471,0.8117986134013854
14,TD3,1.1481695830163885,4.148219937088366
15,steady-state,4.871641664864368,0.8822738861984216
15,TD3,1.0776165930863275,4.356088497392334
16,steady-state,5.175531131398641,0.9543000672274466
16,TD3,1.0566405713802514,4.610851827276167
17,steady-state,5.476319735250995,1.029607816372915
17,TD3,1.0189474102444724,4.825702984035665
18,steady-state,5.7745896440296844,1.1059164671280248
18,TD3,0.9523484933314895,5.034418617428189
19,steady-state,6.070367881732647,1.1819443613571141
19,TD3,0.8842116191070083,5.2412567836260235
20,steady-state,6.3646187218187125,1.2591462510013416
20,TD3,0.808710887879387,5.477589032294843
21,steady-state,6.65691573060593,1.3415470863296373
21,TD3,0.7659898499605479,5.65029394635479
22,steady-state,6.940109625589825,1.4252998817608356
22,TD3,0.7320788843929062,5.833349373329728
23,steady-state,7.22337292379966,1.5140944141564698
23,TD3,0.6963786728296087,6.01145417191847
24,steady-state,7.503930365032413,1.6044684142445893
24,TD3,0.6933561637837918,6.242487067591046
25,steady-state,7.785361952590864,1.6992429550634165
25,TD3,0.7129912875938237,6.418203782434987
26,steady-state,8.064372944623125,1.794703521029711
26,TD3,0.7050653327230973,6.5486624850130575
27,steady-state,8.34015755607452,1.8913792244319145
27,TD3,0.7922681466056489,6.70401887427747
28,steady-state,8.610043710538195,1.985372651300609
28,TD3,0.8595565535569605,6.806616332498391
29,steady-state,8.874861186758158,2.0783695699440146
29,TD3,0.9948630036889248,6.8865996064451975
30,steady-state,9.1400611496160309,2.1731744651130245
30,TD3,1.1247383727083968,6.963682349554694
31,steady-state,9.403608604636341,2.2704470338000635
31,TD3,1.311177954306972,7.093450183931947
32,steady-state,9.665044302903128,2.368141209576125
32,TD3,1.4004276601484618,7.2410585421757245
33,steady-state,9.923487646013564,2.467808435419888
33,TD3,1.4873382711016698,7.422080690253482
34,steady-state,10.181484069615525,2.5702210141654414
34,TD3,1.526218593557577,7.588261851714787
35,steady-state,10.435947372920111,2.6703750178521517
35,TD3,1.509724392565338,7.715288883604182
36,steady-state,10.688691596929129,2.7696534752369915
36,TD3,1.5777882550719309,7.812654117051052
